number,idx,author_short,year,journal_short,doi,Hyperlink,openalex_id,authors,title,institutions,abstract,match_type,techmax,methmax,contmax,tech|00,tech|01,tech|02,tech|03,tech|04,tech|05,tech|06,tech|07,tech|08,tech|09,tech|10,tech|11,tech|12,tech|13,tech|14,tech|15,tech|16,meth|00,meth|01,meth|02,meth|03,meth|04,meth|05,meth|06,meth|07,meth|08,meth|09,cont|0,cont|1,cont|2,cont|3,cont|4,cont|5,peer-reviewed,openalex_landing_page,toxic,hazard,harm,nickel,chromium,dunite,olivine,ultramafic,serpentine,mafic,basalt,wollastonite,Ni,Cr,keyword_analyzed,cdrlit_meth
133,1330.0,Zhang et al.,2022,LO,10.1002/lno.12244,https://doi.org/10.1002/lno.12244,W4304187364,Shuang Zhang; Noah J. Planavsky; Joachim Katchinoff; P. A. Raymond; Yoshiki Kanzaki; Tom Reershemius; Christopher T. Reinhard,River chemistry constraints on the carbon capture potential of surficial enhanced rock weathering,"Department of Oceanography Texas A&amp;M University College Station Texas; Department of Earth and Planetary Sciences, Yale University, New Haven, Connecticut; Department of Earth and Planetary Sciences, Yale University, New Haven, Connecticut; Yale Center for Natural Carbon Capture, Yale University, New Haven, Connecticut; School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, Georgia; Department of Earth and Planetary Sciences, Yale University, New Haven, Connecticut; School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, Georgia","Technologies and approaches that remove and sequester carbon dioxide (CO 2 ) from Earth's atmosphere are likely to play a significant role in mitigating anthropogenic climate disruption in the coming century. Enhanced rock weathering (ERW) on the land surface is one extensively discussed approach toward carbon dioxide removal (CDR), but the capacity of rivers to carry dissolved products derived from ERW without CO 2 re‐release is largely unexplored, hindering a full understanding of the life cycle of ERW and its associated maximum CDR potential. Here, we use a conceptual model built upon river/stream carbonate chemistry to estimate the upper limits on the carbon transport potential (CTP) of rivers and groundwaters. Our model yields a riverine CTP ranging between 0.26–0.89 GtCO 2 yr −1 for the United States and 7.1–21.3 GtCO 2 yr −1 globally for accelerated silicate weathering, and between 0.090–0.37 GtCO 2 yr −1 for the United States and 2.5–8.8 GtCO 2 yr −1 globally for accelerated carbonate weathering. Although these limits will be challenging to achieve in practice, our results support the notion that the transport of dissolved constituents in surface waters is unlikely to be a primary bottleneck limiting the CDR potential of ERW. This supports the notion that accelerated mineral weathering should be considered as an additional component of greenhouse gas mitigation portfolios. However, future research on the kinetics of ERW reactions and river responses, along with consideration of possible added CO 2 emissions by activities needed to accomplish ERW, are needed for a more realistic quantification of the net CDR via ERW in the land–soil–river system.",doi,tech|10,meth|02,cont|5,0.03,0.01,0.01,0.02,0.05,0.01,0.02,0.01,0.01,0.01,0.85,0.04,0.02,0.01,0.03,0.05,0.01,0.03,0.03,0.97,0.03,0.01,0.04,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,1.0,yes,https://doi.org/10.1002/lno.12244,0,0,0,0,0,0,1,0,0,0,14,0,0,0,1,1
134,46434.0,Abdalqadir et al.,2023,JCP,10.1016/j.jclepro.2023.138914,https://doi.org/10.1016/j.jclepro.2023.138914,W4386815195,Mardin Abdalqadir; Sina Rezaei Gomari; David Hughes; Ahmed Sidiq; Feysal Shifa,"Process-based life cycle assessment of waste clay for mineral carbonation and enhanced weathering: A case study for northeast England, UK","Department of Engineering, School of Computing, Engineering and Digital Technologies, Teesside University, Middlesbrough, TS1 3BA, UK; Department of Engineering, School of Computing, Engineering and Digital Technologies, Teesside University, Middlesbrough, TS1 3BA, UK; Department of Engineering, School of Computing, Engineering and Digital Technologies, Teesside University, Middlesbrough, TS1 3BA, UK; Department of Engineering, School of Computing, Engineering and Digital Technologies, Teesside University, Middlesbrough, TS1 3BA, UK; Scott Bros Limited, Scott Business Park, Haverton Hill Road, Stockton-On-Tees, Billingham, TS23 1PY, UK","The potential of enhanced silicate rock weathering for long-term carbon dioxide sequestration is substantial, but it is dependent on the availability of suitable materials and proximity to appropriate field application locations. This paper evaluates the implementation of waste clay in the form of filter cake on agricultural land in northeast (NE) England for mineral carbonation (MC) and enhanced weathering (EW) over 26 years from 2024 to 2050. Process-based life cycle assessment (LCA) is used in this study to provide an effective evaluation of CO2 emissions. Our results show that the potential levels of CO2 sequestration of filter cake through MC and EW are 0.16t CO2eq/t and 0.29t CO2eq/t respectively. Considering the sequestration potential of 580,000 hectares of agricultural land in the NE England, it is shown that the deployment of waste clay in the form of filter cake on that land could capture 0.77 to 1.62 Mt CO2eq with an application rate of 11.2 t/ha for MC and EW respectively, while the corresponding CO2 emissions throughout the application of the processes involved are calculated to be only 0.27 Mt CO2eq over 26 years. This study demonstrates the importance of waste clay valorisation on agricultural soil in NE England in reducing CO2 in the atmosphere and its role in the UK's ‘Net Zero’ ambition.",doi,tech|10,meth|04,cont|5,0.02,0.01,0.01,0.03,0.23,0.02,0.02,0.01,0.01,0.05,0.9,0.02,0.01,0.01,0.02,0.02,0.01,0.12,0.05,0.07,0.13,0.78,0.1,0.03,0.03,0.02,0.04,0.0,0.0,0.0,0.0,0.01,0.99,yes,https://doi.org/10.1016/j.jclepro.2023.138914,3,8,0,2,1,3,11,0,0,0,13,5,2,2,1,1
135,,Asibor et al.,2023,ECC,10.1016/j.egycc.2023.100112,https://doi.org/10.1016/j.egycc.2023.100112,,,A machine learning approach for resource mapping analysis of greenhouse gas removal technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,570.0,Baek et al.,2023,EF,10.1029/2023ef003698,https://doi.org/10.1029/2023ef003698,W4385813640,Seung H. Baek; Yoshiki Kanzaki; Juan M. Lora; Noah J. Planavsky; Christopher T. Reinhard; Shuang Zhang,Impact of Climate on the Global Capacity for Enhanced Rock Weathering on Croplands,"Department of Earth and Planetary Sciences, Yale University, New Haven, CT, USA; School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, GA, USA; Department of Earth and Planetary Sciences, Yale University, New Haven, CT, USA; Department of Earth and Planetary Sciences, Yale University, New Haven, CT, USA; Yale Center for Natural Carbon Capture, Yale University, New Haven, CT, USA; School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, GA, USA; Department of Oceanography, Texas A&M University, College Station, TX, USA","Enhanced rock weathering (ERW) on croplands has emerged as an economically and ecologically promising negative emissions technology. However, estimated total carbon sequestration potential from ERW on croplands and its potential sensitivity to climate conditions requires further understanding. Here we combine 1‐D reactive transport modeling with climate model experiments to simulate ERW on ∼1,000 agricultural sites globally. Applying a fixed rate of 10 tons of basalt dust per hectare on these sites sequesters 64 gigatons of CO 2 over a 75‐year period; when extrapolated to all agricultural land, ERW sequesters 217 gigatons of CO 2 over the same time interval. However, we find that a significant fraction of applied basalt does not weather even on a multidecadal timescale, indicating the need to optimize application strategies for cost effectiveness. We find that ERW becomes modestly more effective with global warming and predict that the payback period for a given ERW deployment is significantly shorter in hot and humid environments currently coinciding with relatively low per‐capita incomes. These results provide strong impetus for investment in agricultural reform in developing economies and highlight an additional potential co‐benefit of ERW.",doi,tech|10,meth|02,cont|5,0.04,0.01,0.02,0.02,0.05,0.02,0.03,0.01,0.02,0.02,0.86,0.04,0.02,0.01,0.04,0.05,0.01,0.03,0.06,0.98,0.02,0.01,0.05,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.23,0.81,yes,https://doi.org/10.1029/2023ef003698,0,1,0,0,0,0,0,0,0,0,63,0,0,0,1,1
137,357.0,Calogiuri et al.,2023,JoVE,10.3791/65563,https://doi.org/10.3791/65563,W4388599362,Tullia Calogiuri; Mathilde Hagens; Jan Willem van Groenigen; Thomas Corbett; Jens Hartmann; Rick Hendriksen; Iris Janssens; Ivan A. Janssens; G. Dominguez; Grant Loescher; Steven Mortier; Anna Neubeck; Harun Niron; Reinaldy Poetra; Lukas Rieder; Eric Struyf; Michiel Van Tendeloo; Tom De Schepper; Tim Verdonck; Siegfried E. Vlaeminck; Sara Vicca; Alix Vidal,Design and Construction of an Experimental Setup to Enhance Mineral Weathering through the Activity of Soil Organisms,"Soil Biology Group, Wageningen University & Research; Soil Chemistry and Chemical Soil Quality, Wageningen University & Research; Soil Chemistry and Chemical Soil Quality, Wageningen University & Research; Soil Biology Group, Wageningen University & Research; Department of Earth Sciences, Uppsala University; Institute for Geology, Center for Earth System Research and Sustainability, University of Hamburg; Tupola, Wageningen University & Research; IDLab - Department of Computer Science, University of Antwerp - imec; Plants and Ecosystems (PLECO), Biology Department, University of Antwerp; Plants and Ecosystems (PLECO), Biology Department, University of Antwerp; Institute for Geology, Center for Earth System Research and Sustainability, University of Hamburg; IDLab - Department of Computer Science, University of Antwerp - imec; Department of Earth Sciences, Uppsala University; Plants and Ecosystems (PLECO), Biology Department, University of Antwerp; Institute for Geology, Center for Earth System Research and Sustainability, University of Hamburg; Institute for Geology, Center for Earth System Research and Sustainability, University of Hamburg; Plants and Ecosystems (PLECO), Biology Department, University of Antwerp; Research Group of Sustainable Energy, Air and Water Technology, University of Antwerp; IDLab - Department of Computer Science, University of Antwerp - imec; Department of Mathematics, University of Antwerp - imec; Research Group of Sustainable Energy, Air and Water Technology, University of Antwerp; Plants and Ecosystems (PLECO), Biology Department, University of Antwerp; Soil Biology Group, Wageningen University & Research","Enhanced weathering (EW) is an emerging carbon dioxide (CO2) removal technology that can contribute to climate change mitigation. This technology relies on accelerating the natural process of mineral weathering in soils by manipulating the abiotic variables that govern this process, in particular mineral grain size and exposure to acids dissolved in water. EW mainly aims at reducing atmospheric CO2 concentrations by enhancing inorganic carbon sequestration. Until now, knowledge of EW has been mainly gained through experiments that focused on the abiotic variables known for stimulating mineral weathering, thereby neglecting the potential influence of biotic components. While bacteria, fungi, and earthworms are known to increase mineral weathering rates, the use of soil organisms in the context of EW remains underexplored. This protocol describes the design and construction of an experimental setup developed to enhance mineral weathering rates through soil organisms while concurrently controlling abiotic conditions. The setup is designed to maximize weathering rates while maintaining soil organisms' activity. It consists of a large number of columns filled with rock powder and organic material, located in a climate chamber and with water applied via a downflow irrigation system. Columns are placed above a fridge containing jerrycans to collect the leachate. Representative results demonstrate that this setup is suitable to ensure the activity of soil organisms and quantify their effect on inorganic carbon sequestration. Challenges remain in minimizing leachate losses, ensuring homogeneous ventilation through the climate chamber, and avoiding flooding of the columns. With this setup, an innovative and promising approach is proposed to enhance mineral weathering rates through the activity of soil biota and disentangle the effect of biotic and abiotic factors as drivers of EW.",doi,tech|10,meth|01,cont|5,0.02,0.01,0.01,0.02,0.49,0.02,0.02,0.01,0.01,0.04,0.85,0.01,0.01,0.01,0.01,0.02,0.0,0.05,0.96,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,yes,https://doi.org/10.3791/65563,0,0,1,0,0,1,2,1,0,1,1,1,0,0,1,1
138,613.0,Chen et al.,2023,STE,10.1016/j.scitotenv.2023.165766,https://doi.org/10.1016/j.scitotenv.2023.165766,W4385319727,Anqi Chen; Zhuo Chen; Zetian Qiu; Bo‐Lin Lin,Experimentally-calibrated estimation of CO2 removal potentials of enhanced weathering,"School of Physical Science and Technology, ShanghaiTech University, Shanghai 201210, PR China; School of Physical Science and Technology, ShanghaiTech University, Shanghai 201210, PR China; School of Physical Science and Technology, ShanghaiTech University, Shanghai 201210, PR China; School of Physical Science and Technology, ShanghaiTech University, Shanghai 201210, PR China","Enhanced weathering (EW) of (ultra)mafic rocks is widely considered as a promising option for carbon dioxide removal (CDR). However, accurately measuring its CDR potential remains unavailable due to sluggish weathering process. Previous models have estimated annual CDR potentials ranging from 1 to 95 Gt by 2100, with the maximum significantly exceeding the anthropogenic CO2 emissions in 2021 (approximately 41 Gt). This raises concerns that a misconception may arise, suggesting active mitigations of CO2 emissions might not be necessary. Herein, we address this issue by partitioning the CDR potential of EW into two components, flow-through and non-flow-through processes, and develop an experimentally-calibrated model to reduce discrepancies between previous theoretical and experimental weathering rates. Our model estimates the upper bound of CDR potentials to be 0.22 (±0.16) Gt annually and 17 (±13) Gt cumulatively by 2100, thereby emphasizing the significance and urgency to advance ultra-enhanced weathering strategies.",doi,tech|10,meth|02,cont|5,0.03,0.01,0.01,0.02,0.04,0.01,0.02,0.01,0.01,0.01,0.78,0.05,0.02,0.01,0.04,0.06,0.01,0.03,0.07,0.98,0.03,0.01,0.03,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.99,yes,https://doi.org/10.1016/j.scitotenv.2023.165766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,390.0,Chen et al.,2023,ERL,10.1088/1748-9326/ad085e,https://doi.org/10.1088/1748-9326/ad085e,W4388037965,Anqi Chen; Zhuo Chen; Bo‐Lin Lin,Theoretical evaluation on CO<sub>2</sub> removal potential of enhanced weathering based on shrinking core model,"ShanghaiTech University, No. 393 Middle Huaxia Road, Pudong New District, Shanghai, 201210, CHINA; ShanghaiTech University, No. 393 Middle Huaxia Road, Pudong New District, Shanghai, 201210, CHINA; ShanghaiTech University, No. 393 Middle Huaxia Road, Pudong New District, Shanghai, 201210, CHINA","The discrepancy between current CO 2 emission trend and the targeted 1.5 °C warming requires the implementation of carbon dioxide removal (CDR) technologies. Among the engineered CDRs, enhanced weathering (EW) is expected to exhibit substantial potential for CO 2 removal, owing to the availability of abundant reserves of ultramafic rocks and demonstration of worldwide liming practice. While the shrinking core model (SCM) has been commonly adopted in previous theoretical and experimental studies, there still lacks a comprehensive assessment on the impacts of model parameters, such as rock particle size, size distribution, weathering rate and time length on the weathering kinetics and the resultant CDR potential. Herein, this study incorporates particle size distribution of rock powder into the surface reaction-controlled SCM, and conducts sensitivity analysis on EW’s CDR potential quantitatively. Even fully powered by low-carbon energy in the optimistic case, the application of EW with olivine only achieves maximum CDR per unit of rock and energy consumption of 0.01 kg CO 2 per kg rock and 19 g per kWh at size of 8 and 22 μ m respectively, indicating the limitations of EW. The derived optimal application parameters with olivine powers within 3.7–79 μ m provide valuable insights into the practical real-world applications to achieve net CO 2 removal.",doi,tech|10,meth|02,cont|5,0.04,0.02,0.02,0.04,0.02,0.02,0.01,0.01,0.01,0.01,0.8,0.07,0.02,0.01,0.03,0.13,0.01,0.02,0.09,0.98,0.03,0.01,0.03,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,1.0,yes,https://doi.org/10.1088/1748-9326/ad085e,0,0,0,1,0,1,18,2,0,0,5,1,0,0,1,1
140,720.0,Chiaravalloti et al.,2023,FC,10.3389/fclim.2023.1203043,https://doi.org/10.3389/fclim.2023.1203043,W4381890070,Isabella Chiaravalloti; Nicolas Theunissen; Shuang Zhang; Jiuyuan Wang; Fengchao Sun; A A Ahmed; Evelin Pihlap; Christopher T. Reinhard; Noah J. Planavsky,Mitigation of soil nitrous oxide emissions during maize production with basalt amendments,"Department of Earth and Planetary Sciences, Yale University, New Haven, CT, United States; Department of Earth and Planetary Sciences, Yale University, New Haven, CT, United States; Department of Oceanography, Texas A&M University, College Station, TX, United States; Department of Earth and Planetary Sciences, Yale University, New Haven, CT, United States; School of the Environment, Yale University, New Haven, CT, United States; Department of Earth and Planetary Sciences, Yale University, New Haven, CT, United States; Department of Earth and Planetary Sciences, Yale University, New Haven, CT, United States; School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, GA, United States; Department of Earth and Planetary Sciences, Yale University, New Haven, CT, United States; Yale Center for Natural Carbon Capture, Yale University, New Haven, CT, United States","Nitrous oxide (N 2 O) is a potent and long-lived greenhouse gas that accounts for roughly 6% of global anthropogenic greenhouse gas emissions, and it has risen from its preindustrial concentration of 270 ppb N 2 O to 332 ppb N 2 O as a result of human activities. The majority of anthropogenic N 2 O emissions (52–80%) come from agricultural settings due to high rates of reactive nitrogen fertilizer application. Amending soils with fine-grained basalt is gaining traction as a carbon dioxide removal (CDR) pathway, and model simulations suggest that this process may also significantly decrease soil N 2 O emissions. Here, we continuously measure N 2 O fluxes from large-scale maize mesocosms in a greenhouse setting and use a machine learning framework to assess the relative importance of the levers on N 2 O fluxes. We observe significant decreases in cumulative N 2 O emissions (between 29–32%) from mesocosm systems with basalt addition. We find that basalt application rate, soil pH, and surface soil moisture are the strongest levers on N 2 O emissions depending on the system settings. These results provide empirical support for a potentially significant co-benefit of deploying enhanced rock weathering of silicates (ERW) on managed lands, particularly those subject to elevated rates of reactive nitrogen input.",doi,tech|10,meth|02,cont|5,0.09,0.01,0.02,0.04,0.14,0.02,0.04,0.01,0.02,0.02,0.93,0.03,0.01,0.01,0.02,0.03,0.01,0.12,0.03,0.95,0.07,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.99,yes,https://doi.org/10.3389/fclim.2023.1203043,0,0,0,0,0,0,0,0,0,0,77,0,1,1,1,1
141,740.0,Deng et al.,2023,SR,10.1038/s41598-023-36113-4,https://doi.org/10.1038/s41598-023-36113-4,W4380988020,Hang Deng; Eric Sonnenthal; Bhavna Arora; Hanna Breunig; Eoin L. Brodie; Markus Kleber; Nicolas Spycher; Peter Nico,The environmental controls on efficiency of enhanced rock weathering in soils,"Department of Energy and Resources Engineering, College of Engineering, Peking University, Beijing, China; Earth and Environmental Sciences Area, Lawrence Berkeley National Laboratory, Berkeley, USA; Earth and Environmental Sciences Area, Lawrence Berkeley National Laboratory, Berkeley, USA; Energy Analysis and Environmental Impacts Division, Energy Technology Area, Lawrence Berkeley National Laboratory, Berkeley, USA; Earth and Environmental Sciences Area, Lawrence Berkeley National Laboratory, Berkeley, USA; Department of Crop and Soil Science, College of Agricultural Sciences, Oregon State University, Corvallis, USA; Earth and Environmental Sciences Area, Lawrence Berkeley National Laboratory, Berkeley, USA; Earth and Environmental Sciences Area, Lawrence Berkeley National Laboratory, Berkeley, USA","Enhanced rock weathering (ERW) in soils is a promising carbon removal technology, but the realistically achievable efficiency, controlled primarily by in situ weathering rates of the applied rocks, is highly uncertain. Here we explored the impacts of coupled biogeochemical and transport processes and a set of primary environmental and operational controls, using forsterite as a proxy mineral in soils and a multiphase multi-component reactive transport model considering microbe-mediated reactions. For a onetime forsterite application of ~ 16 kg/m2, complete weathering within five years can be achieved, giving an equivalent carbon removal rate of ~ 2.3 kgCO2/m2/yr. However, the rate is highly variable based on site-specific conditions. We showed that the in situ weathering rate can be enhanced by conditions and operations that maintain high CO2 availability via effective transport of atmospheric CO2 (e.g. in well-drained soils) and/or sufficient biogenic CO2 supply (e.g. stimulated plant-microbe processes). Our results further highlight that the effect of increasing surface area on weathering rate can be significant-so that the energy penalty of reducing the grain size may be justified-only when CO2 supply is nonlimiting. Therefore, for ERW practices to be effective, siting and engineering design (e.g. optimal grain size) need to be co-optimized.",doi,tech|10,meth|02,cont|5,0.03,0.01,0.01,0.02,0.11,0.01,0.03,0.01,0.01,0.03,0.88,0.03,0.02,0.01,0.02,0.02,0.01,0.05,0.05,0.98,0.04,0.01,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,1.0,yes,https://doi.org/10.1038/s41598-023-36113-4,0,0,0,0,0,0,8,0,0,0,2,2,0,0,1,1
142,,Dietzen & Rosing,2023,IJGGC,10.1016/j.ijggc.2023.103872,https://doi.org/10.1016/j.ijggc.2023.103872,,,Quantification of CO2 uptake by enhanced weathering of silicate minerals applied to acidic soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,0,0,0,0,0,1,3,1,0,1,18,4,0,0,1,0
143,1065.0,Dupla et al.,2023,EJSS,10.1111/ejss.13343,https://doi.org/10.1111/ejss.13343,W4319828581,Xavier Dupla; Benjamin Möller; Philippe C. Baveye; Stéphanie Grand,Potential accumulation of toxic trace elements in soils during enhanced rock weathering,"Institute of Earth Surface Dynamics, University of Lausanne, Lausanne, Switzerland; University of Bayreuth, Bayreuth, Germany; Saint Loup Research Institute  Saint Loup Lamairé France; Institute of Earth Surface Dynamics, University of Lausanne, Lausanne, Switzerland","Terrestrial enhanced rock weathering (ERW) is a carbon dioxide removal technology that aims at accelerating one of the most powerful negative feedbacks on Earth's climate, the chemical weathering of silicates. To achieve this, ERW proposes to spread ground silicate rock on agricultural soils. According to many models, global application rates of 40 tonnes of ground basaltic rock per hectare and per year would be necessary to sequester a significant amount of CO 2 , representing up to 24% of the current net annual increase in atmospheric CO 2 . When assessing the viability of ERW as a global geo‐engineering strategy, a pivotal but overlooked question to address is whether ERW may lead to toxic trace element accumulation in soils at unauthorized and potentially harmful levels. This study evaluates the legal sustainability of ERW with regard to trace element contents in soils. We compare different trace element accumulation scenarios considering a range of rock sources, application rates and national regulatory limits. The results indicate that, at the suggested annual application rate of 40 tonnes per hectare, the first regulatory limits would be exceeded after 6 and 10 years for copper and nickel, respectively. This study argues in favour of close tailoring of ERW deployment to local conditions in order to tap into its climate mitigation potential while preserving long‐term soil uses. Highlights Terrestrial enhanced rock weathering (ERW) is a carbon sequestration technology that consists in applying rock powder to soils. This study evaluates whether rock powder application can lead to trace metals accumulation in soils beyond regulatory limits. ERW can lead to the overrun of some environmental regulatory limits within less than a decade. Specific site and rock selection will be necessary for this method to preserve long‐term soil uses.",doi,tech|10,meth|02,cont|5,0.02,0.01,0.01,0.02,0.17,0.02,0.03,0.01,0.02,0.03,0.89,0.02,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.78,0.05,0.01,0.26,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.98,yes,https://doi.org/10.1111/ejss.13343,11,0,3,31,17,3,3,9,0,6,27,0,2,2,1,1
144,774.0,Feng & Hicks,2023,JCP,10.1016/j.jclepro.2023.137625,https://doi.org/10.1016/j.jclepro.2023.137625,W4379209321,Danyi Feng; Andrea Hicks,"Environmental, human health, and CO2 payback estimation and comparison of enhanced weathering for carbon capture using wollastonite","Univeristy of Wisconsin-Madison, Department of Civil and Environmental Engineering, 1415 Engineering Drive, Madison, WI, 53706, USA; Univeristy of Wisconsin-Madison, Department of Civil and Environmental Engineering, 1415 Engineering Drive, Madison, WI, 53706, USA","Negative emission technologies (NETs) are emerging pathways to remove carbon dioxide (CO2) from the atmosphere in order to achieve the target of the 2015 Paris Agreement that restricts global temperature increases between 1.5 °C and 2 °C. In recent years, enhanced weathering (EW) has drawn considerable attention as a potential carbon dioxide removal technology (CRD). The advantages of EW are not only to capture CO2 but also to improve the productivity of agricultural land and intensify soil water retention. Here, a comprehensive literature review is conducted for informing a cradle-to-grave life cycle impact assessment of EW of wollastonite. While previous studies report that the transportation process has the greatest environmental and human health impacts where natural rocks are used, there is currently a gap in the literature with respect to the implications of synthesized rocks. The aim of this work is to analyze and compare the environmental, human health, and CO2 payback period performances of EW for carbon capture using synthetic and natural wollastonite. The functional unit is 1 kg CO2 removed. The results indicate that the natural scenario performs better from environmental, human health, and CO2 payback perspectives when compared to the synthetic scenario.",doi,tech|10,meth|04,cont|5,0.03,0.01,0.02,0.04,0.06,0.02,0.01,0.01,0.02,0.02,0.87,0.05,0.02,0.01,0.03,0.11,0.01,0.05,0.05,0.04,0.23,0.79,0.23,0.05,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.02,0.99,yes,https://doi.org/10.1016/j.jclepro.2023.137625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,759.0,Guo et al.,2023,AS,10.1016/j.agsy.2023.103691,https://doi.org/10.1016/j.agsy.2023.103691,W4379781616,Fuxing Guo; Yanping Wang; Huimin Zhu; Chuangye Zhang; Huimin Sun; Zhixiang Fang; Jin-Ling Yang; Linsen Zhang; Yan Mao; Yu Bon Man; Fuyong Wu,Crop productivity and soil inorganic carbon change mediated by enhanced rock weathering in farmland: A comparative field analysis of multi-agroclimatic regions in central China,"College of Natural Resources and Environment, Northwest A&F University, Yangling 712100, Shaanxi, PR China; Key Laboratory of Plant Nutrition and the Agri-environment in Northwest China, Ministry of Agriculture, Yangling 712100, Shaanxi, PR China; College of Natural Resources and Environment, Northwest A&F University, Yangling 712100, Shaanxi, PR China; Fuping Modern Agricultural Comprehensive Experimental Demonstration Station, Northwest A&F University, Fuping 711700, Shaanxi, China; Key Laboratory of Plant Nutrition and the Agri-environment in Northwest China, Ministry of Agriculture, Yangling 712100, Shaanxi, PR China; College of Natural Resources and Environment, Northwest A&F University, Yangling 712100, Shaanxi, PR China; College of Natural Resources and Environment, Northwest A&F University, Yangling 712100, Shaanxi, PR China; College of Natural Resources and Environment, Northwest A&F University, Yangling 712100, Shaanxi, PR China; State Key Laboratory of Soil Erosion and Dryland Farming on the Loess Plateau, Institute of Soil and Water Conservation, Chinese Academy of Sciences & Ministry of Water Resources, Yangling 712100, China; College of Natural Resources and Environment, Northwest A&F University, Yangling 712100, Shaanxi, PR China; College of Natural Resources and Environment, Northwest A&F University, Yangling 712100, Shaanxi, PR China; College of Horticulture, Northwest A&F University, Yangling 712100, Shaanxi, China; College of Landscape Architecture and Arts, Northwest A&F University, Yangling 712100, Shaanxi, China; Consortium on Health, Environment, Education and Research (CHEER), Department of Science and Environmental Studies, The Education University of Hong Kong, Tai Po, Hong Kong, PR China; College of Natural Resources and Environment, Northwest A&F University, Yangling 712100, Shaanxi, PR China; Key Laboratory of Plant Nutrition and the Agri-environment in Northwest China, Ministry of Agriculture, Yangling 712100, Shaanxi, PR China","Farmland enhanced rock weathering (ERW) is a negative emission technology that accelerates CO2 sequestration into the soil inorganic carbon (SIC) sink by applying calcium and magnesium-rich silicate rock to agricultural soils. Farmland ERW has great CO2 removal potential and is accompanied by various co-benefits, such as improving soil pH and providing mineral nutrients. However, the environment-driven mechanisms of ERW remain unclear, and the uncertainty on crop productivity also requires further evaluation in field trials. We tried to explore the response of crop productivity and soil inorganic carbon to ERW in farmland and analyze the contribution and prioritization of environment drivers for the above change. A series of monitoring trials were established in a multi-agroclimatic region in central China from 2019 to 2021. Firstly, crop productivity and SIC change mediated by ERW were evaluated by applying 10 kg m−2 mixed rock powder in field trials. Secondly, the random forest and correlation network analysis were used to quantify the influence of climate, soil, and management drivers on yield and SIC change. Finally, the carbon footprint of silicate rock powder was calculated by life cycle analysis. Farmland ERW significantly improved the crop yield (7 ± 4.3%) and biomass (11 ± 4.6%) in the whole region. In the low water balance region, the net carbon sequestration during three years caused by ERW was 4.31 ± 0.82 t-CO2 ha−1, which increased the carbon capture of the agricultural system by 1.6–2.4 times. Contribution analysis showed that soil pH had the highest relative importance (18%) on yield change mediated by ERW. Low soil pH was conducive to yield and nutrient effectiveness increases, and the largest yield increase reached 31 ± 6.9%. Water balance (rainfall/evapotranspiration) was the dominant driver affecting (20%) inorganic carbon sequestration, the accumulation of SIC in low water balance reached 3.8 times that in high water balance regions. Moreover, fertilizer input also significantly correlated with ERW field effect, and N input significantly increased the SIC in the arid region. This study provided detailed field data for large-scale potential analysis of ERW in farmland. These findings contribute to understanding the environmental influence of ERW and assisting decision-making for ERW layout. Moreover, our results could inspire soil improvement in regions with soil acidification and mineral nutrient shortages.",doi,tech|10,meth|00,cont|5,0.02,0.01,0.01,0.02,0.58,0.03,0.03,0.01,0.03,0.03,0.9,0.02,0.02,0.01,0.02,0.03,0.01,0.73,0.01,0.01,0.3,0.16,0.02,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.99,yes,https://doi.org/10.1016/j.agsy.2023.103691,5,0,0,0,0,1,7,1,2,0,5,7,0,1,1,1
